Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
DigiGage,DigiGage Moving Images Synchronized with Elevator Motion,2009,"B2B, B2C",1-10,Mature,Undisclosed,", , , software-applications, patent-pending"
DigiSense,"DigiSense Contact-free, Wearable Monitoring Technology",2009,"B2B, B2C",1-10,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , , , , diagnostics, remote-monitoring"
Digital Clues,Digital Clues ACQUIRED Digital Intelligence Solutions,2010,"B2B, B2G",1-10,Acquired,Undisclosed,", , , , , , , , , , artificial-intelligence, big-data-analytics"
DigitalOwl,DigitalOwl AI-powered Medical Record Summarization Platform,2017,B2B,51-200,B,$40.41M,", , , , , insurance-companies, insurtech, fintech"
Diptera.ai,Diptera.ai Insect-based Pest Control,2020,"B2B, B2B2C, B2C, B2G",11-50,Seed,$3.96M,", , , , , , , public-health, artificial-intelligence"
Dive Health,Dive Health Innovation for Psychology,2023,B2B,1-10,Pre-Funding,Undisclosed,", , , , , recruitment, mental-health"
dmg,dmg Shared Workspaces,2008,B2B,11-50,Mature,Undisclosed,", , , , , , , , , , , , , , , , , user-engagement, campaign-optimization"
DMway Analytics,DMway Analytics Predictive Analytics,2014,"B2B, B2G",1-10,Seed,$1M,", , , , , , , , , , , , , , , , , , online-retailers, banks, automotive"
DocAuthority,DocAuthority Sensitive Data Identification and Protection,2013,"B2B, B2G",1-10,A,$15.85M,", , , , , , , , , , data-governance, retailers, dlp"
docdok.health,docdok.health Healthcare Communication Platform,2017,"B2B, B2B2C",1-10,Seed,Undisclosed,", , , , , , , , , , , , , , , , dashboard, telemedicine"
DockTech,DockTech AI-powered Cargo Optimization for Ports,2019,"B2B, B2G",11-50,Seed,$4.37M,", , , , , , , , port-optimization, smart-mobility"
DogBase,DogBase Redefining Working Dogs' Interactions and Training through AI,2022,"B2B, B2B2C, B2G",1-10,Seed,Undisclosed,", , , , , , , , , , , , , , , , , , , training, enterprise-solutions"
Dokka,Dokka Accounting and Bookkeeping Automation Platform,2017,B2B,51-200,Seed,$750K,", , , , , , , , accounting, machine-learning, saas"
Donisi Health,Donisi Health Contact-free Device for Cardiac and Pulmonary Assessment,2015,B2B2C,1-10,B,$27.2M,", , , , , , , , , , , , , , , , , , , , , , , , , , safety, heart-failure"
Doocit,Doocit Empowering Your Health Journey with Smart Management Monitoring,2019,B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , patient-engagement, artificial-intelligence"
Dooiu,Dooiu Platform for Connecting Individuals with Subject-matter Experts,2020,"B2B, B2B2C, B2C",11-50,Pre-Funding,Undisclosed,", , , , , , mobile-applications, chatbot, edtech"
Double Shoot,Double Shoot Mobile App for Zeroing Weapons,2017,"B2B, B2G",1-10,Seed,$475K,", , , , mobile-applications, armor, security"
Dream Security,Dream Security Cybersecurity Solutions for Critical Assets,2022,B2B,51-200,Seed,$55M,", , , , , network-security, incident-response"
DreaMed Diabetes,DreaMed Diabetes Personalized Diabetes Treatment Optimization Solutions,2014,"B2B, B2B2C",11-50,Seed,$25.2M,", , , , , , , , , , , , , , , , , insurance-companies, decision-support"
DroneVision Technologies,"DroneVision Technologies AI-powered Drones for Real-time Mapping, 3D Reconstruction & Precise Data Collection",2024,B2B,1-10,Pre-Funding,Undisclosed,"drones, artificial-intelligence"
Duality Technologies,Duality Technologies Privacy Solutions for Data Collaboration,2016,B2B,11-50,B,$50M,", , , , , , , , , , , , , , , , , open-banking, artificial-intelligence"
Duet,Duet AI Financial Planning Platform for Entertainment Productions,2023,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , underwriting, entertainment, media"
Dueto,Dueto AI-based HR Recruiting Platform,2020,B2B,1-10,Pre-Funding,Undisclosed,", , cloud-based, artificial-intelligence"
Dynamic Edge AI,Dynamic Edge AI Drone-based building Façade Inspections,2021,B2B,11-50,Pre-Seed,Undisclosed,", , , , , , , , computer-vision, visual-inspection"
Dynamic Infrastructure,Dynamic Infrastructure AI-based Predictive Maintenance Software for Road Infrastructure,2017,"B2B, B2G",11-50,Seed,Undisclosed,", , , , , , , , , , , , , , , , drones, infrastructure"
Dynamic Yield,Dynamic Yield ACQUIRED AI-powered Personalization Platform,2011,B2B,500+,Acquired,$82.25M,", , , , , , , , , , , , , , , , , , , , , recommendations, machine-learning, messaging"
E-square,E-square Transportation Management Platform,2019,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , smart-mobility, artificial-intelligence, parking"
EasySend,EasySend Platform for Creating and Optimizing Digital Customer Journeys,2016,"B2B, B2B2C, B2C, B2G",51-200,B,$66.5M,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , saas, financial-institutions, enterprises"
EasyWay,EasyWay ACQUIRED Communication Platform for Hotels and Their Guests,2016,B2B,51-200,Acquired,$1.5M,", , , , , , , , behavior-analytics, automation, saas"
EchoCare Technologies,EchoCare Technologies Noninvasive Home Monitoring System for Seniors,2015,"B2B, B2B2C",1-10,Seed,$3.8M,", , , , , , , , , , , , , , , insurance-companies, rf-technology"
EcoPlant,EcoPlant ACQUIRED Energy-saving SaaS Solution for Compressed Air Systems,2016,B2B,51-200,Acquired,$9.75M,", , , , , , , , , , , , , , mobile-applications, real-time, saas"
Ecoppia,Ecoppia ACQUIRED Water-free Robotic Cleaning for Photovoltaic Panels,2013,B2B,51-200,Public,$135M,", , , , , , , , , , , , , , big-data, water-saving"
Edge226,Edge226 Mobile Marketing Agency,2006,B2B,11-50,Mature,$5.7M,", , , , , , , , , , , , tracking, artificial-intelligence"
Edgify,Edgify Collaborative AI Model-training Platforms for Edge Devices,2014,B2B,11-50,Seed,$18.13M,", , , , , , , , , , , healthcare-providers, online-learning, automotive"
EFA Technologies,EFA Technologies Infectious Disease Diagnostic System,2016,"B2B, B2B2C, B2G",11-50,Seed,$6.09M,", , , , , , , , , , , , , , artificial-intelligence, doctors, home-care"
Effectivate,Effectivate AI-based Computerized Cognitive Training for Older Adults,2018,"B2B, B2B2C, B2C",11-50,Seed,$1.6M,", , , , , , , , , , digital-healthcare, cognitive-training, seniors"
Efficient Frontier,Efficient Frontier Corporate Trading and Intelligence Technology for Digital Assets,2018,B2B,11-50,Seed,Undisclosed,", , , , artificial-intelligence, digital-assets"
Eidtica,Eidtica Stealth Mode Company,2024,B2B,1-10,Pre-Funding,Undisclosed,", , , , , hardware, data-centers"
ELDA BrainTech,ELDA BrainTech EEG and fMRI AI-powered Neurodiagnostic Platform,2019,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , neurology, artificial-intelligence"
Elefense,Elefense Analytics Platform for Monitoring Corporate Culture and Employee Satisfaction,2021,"B2B, B2G",11-50,Pre-Funding,Undisclosed,", , , , , saas, machine-learning, big-data"
Eleos Health,Eleos Health Automated Behavioral Care Workflow Solution,2019,B2B,51-200,B,$68M,", , , , , , , , , , , , , , , , voice-analytics, digital-healthcare"
Eleven Therapeutics,Eleven Therapeutics Next Generation of RNA Therapeutics,2020,B2B,11-50,Seed,$25.9M,", , , , pharma-companies, therapeutics"
ELTA Systems,"ELTA Systems Intelligence, Surveillance, and Reconnaissance Solutions",1967,"B2B, B2G",500+,Mature,Undisclosed,", , , , , , , , , , , , anti-drones, satcom, space-tech"
eMazeLabs,eMazeLabs SaaS Platform for At-home Cognitive Therapy,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , digital-healthcare, learning-disabilities"
Embie Clinic,Embie Clinic Enabling a 10X growth in Fertility Treatments in the US via Remote Fertility Treatment,2020,B2B,1-10,Pre-Funding,$0,", , , , , , , , , , diagnostics, data-analytics"
Embryonics,Embryonics AI Algorithms for In-vitro Fertilization,2018,B2B,1-10,Seed,$4M,", , , , , , , , , , fertility, deep-learning, hospitals"
Emnotion,Emnotion Global Climate Modeling Solution,2016,"B2B, B2G",1-10,Pre-Seed,$1M,", , , , , , , , , , , , , , , , , , , , , supply-chain, enterprise-solutions"
Empirical,Empirical Algorithm-based Candidate Screening,2017,B2B,1-10,Pre-Funding,$0,", , , , , , , , , , , , screening, enterprises, hr-tech"
Enabley,Enabley Digital Training Platform,2005,"B2B, B2C, B2G",51-200,Mature,$60M,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , artificial-intelligence, police, teachers"
EndoTech.io,EndoTech.io Security Platform for the Blockchain Investment Market,2012,"B2B, B2B2C, B2C",11-50,Mature,Undisclosed,", , , , , , , , , mobile-applications, trading-and-investing"
Enerjoy,Enerjoy Contact Center Motivation,2015,B2B,1-10,Seed,$670K,", , , , , , , , , , , , enterprise-solutions, customer-service"
Enigmai,Enigmai ACQUIRED Workforce Management Solutions,2009,B2B,1-10,Acquired,Undisclosed,", , , , , , , , call-centers, saas, enterprises"
Enigmatos,Enigmatos Automotive Cybersecurity,2015,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , smart-mobility, artificial-intelligence"
Enquantum,Enquantum Cryptography-based Security Solutions,2020,"B2B, B2B2C",1-10,Seed,Undisclosed,", , , cyber-security, artificial-intelligence"
Enroute,Enroute eCommerce Layer for Mobility Services,2017,B2B2C,1-10,Pre-Seed,$825K,", , , , , , , connected-vehicles, smart-mobility, ridesharing"
enso,enso Catalog of Fully Autonomous AI-powered Bots for SMBs.,2024,,11-50,Seed,$6M,artificial-intelligence
EnsureDR,EnsureDR Disaster Recovery Testing Solution,2014,B2B,1-10,Mature,$2.5M,", , , , , , simulation, artificial-intelligence, compliance"
Enzymit,Enzymit Cell-free Bioproduction,2020,B2B,11-50,A,$16.5M,", , , , , , , , , , , , foodtech, cosmetic-companies"
ePlane,ePlane End-to-end Marketplace for the Aviation Industry,2017,"B2B, B2G",11-50,A,$9M,", , , , , , , , , , , , , , , smart-mobility, marketplace, airports"
Equanimity AI,Equanimity AI AI-driven Platform for Personalized Chronic Pain Assessment,2022,B2B,1-10,Pre-Funding,Undisclosed,", , artificial-intelligence, digital-healthcare"
Equinom,Equinom Non-GMO Seed Varieties,2012,B2B,11-50,D,$75.25M,", , , , , , , , , , , , , , artificial-intelligence, alternative-protein, agtech"
Essence,Essence Smart Home Security and Home Care Solutions,1994,"B2B2C, B2C",201-500,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , , , , , sensors, wireless-control"
EtherWaves,EtherWaves Digital Radio Technology for the Automotive Industry,2006,B2B,1-10,Mature,$2M,", , natural-language-processing, artificial-intelligence"
Eton.News,Eton.News School Journalism Platform,2018,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , students, web-platform"
Everafter AI,Everafter AI The B2B Customer Interface Platform,2019,B2B,11-50,Seed,$13M,", , , , , , , customer-experience, crm, sales"
Evogene,Evogene PUBLIC Computational Predictive Biology Platform,2002,B2B,51-200,Public,$135.7M,", , , , , , , , , , , , seeds, pharmaceuticals"
EVOLITA,EVOLITA Data-driven Research,2013,B2B,1-10,Mature,$624K,", , , , , , , , , , , , , , , , machine-learning, business-management"
Evolution Water,Evolution Water AI-powered Water Infrastructure Management Solution,2021,B2G,1-10,Pre-Funding,Undisclosed,", , , , energy-efficiency, water-utilities"
Evolution.inc,Evolution.inc Automatically Optimized AI Technology,2019,"B2B, B2B2C, B2G",11-50,Pre-Funding,Undisclosed,", , , , , , , , big-data, ai-process-optimization"
Ewave MD,Ewave MD End-to-end Solutions for Managing Health Organizations,2006,B2B2C,201-500,Mature,Undisclosed,", , , , , , , , , , , , , , , laboratories, artificial-intelligence"
examPAL,examPAL Personalized Online Test Prep,2015,"B2B, B2B2C, B2C",1-10,Seed,$3.9M,", , , , , , , , , , wisdom-of-crowds, web-platform"
Exceed Talent Capital,Exceed Talent Capital Talent-focused Investment Platform,2019,"B2B2C, B2C",1-10,Seed,$12M,", , , , , entertainment, artificial-intelligence, fans"
Exelot,Exelot Cross-border Shipping Solutions,2015,"B2B, B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , , ecommerce, web-platform"
Exists,Exists GAMES FROM TEXT. JUST LIKE THAT.,2023,"B2B, B2C",11-50,Pre-Funding,Undisclosed,", web-platform, 3d-technology"
Expecting,"Expecting Streamlining Surrogacy, Egg and Sperm Donation Journeys at Scale",2020,"B2B, B2B2C, B2C",11-50,Seed,$1.5M,", , , , , , , , , , , , , , patient-engagement, search-engine"
Explorium,Explorium Automated External Data Platform for Advanced Analytics and Machine Learning,2017,"B2B, B2B2C",51-200,C,$125.1M,", , , , , , , , , , , , , , , , , , , , consumer-packaged-goods, big-data-analytics"
Exposebox,Exposebox ACQUIRED AI-powered Personalization Platform,2013,"B2B, B2B2C",1-10,Acquired,Undisclosed,", , , , , , , , , , , , , , , , , data-management, marketing, messaging"
Eye-Net Mobile,Eye-Net Mobile Cellular-based Accident Prevention Solutions,2018,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , , , 5g-networks, micromobility, automotive"
EyeControl,EyeControl Wearable Assistive Communication Device,2016,"B2B, B2B2C, B2C",11-50,A,$14.31M,", , , , , , , , , , , , , , , , , , , , , , , , , communications, natural-language-processing"
EyeCue Vision Technologies,EyeCue Vision Technologies SmartVision Integration in Toys and Games,2007,"B2B, B2B2C",1-10,Mature,Undisclosed,", , , , , , , , , , , , , , optronics, consumer-goods"
EyeKnow AI,EyeKnow AI Keeping the Helpless Safe from Violence using Security Cameras and AI,2021,"B2B, B2B2C, B2G",1-10,Pre-Seed,$175K,", , , , , , , , , artificial-intelligence, computer-vision"
EyeSensorNix,EyeSensorNix Real-time Food Freshness Monitoring for the Meat Industry,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , shelf-life, climate-tech"
EZMEMS,EZMEMS Multi-sensing and Connectivity for Edge Sensing and Analytics,2014,B2B,1-10,Pre-Funding,$0,", , , , , , , , , , , , , , , , adherence, desalination"
Fabric,Fabric On-demand Logistics Platform,2015,B2B,500+,C,$336M,", , , , , , , , , , , , , , industry-4.0, logistics, warehouse"
Face-Six,Face-Six Customized Facial Recognition and Demographic Analytics,2012,"B2B, B2C, B2G",11-50,Mature,Undisclosed,", , , , , , , , , , , , , , , , , smart-city, healthcare-providers, optronics"
Facense,Facense Medical Smart Glasses,2015,"B2B, B2B2C, B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , , , , , , wearable, medical-technologies"
Faception,Faception Facial Personality Analytics,2014,"B2B, B2B2C, B2G",11-50,A,$625K,", , , , , , , , , , , , , , , , , , , , , , , , , , , , insurance-companies, risk-assesments, optronics"
Facetrom,Facetrom Banking Services for the Financially Underserved,2015,B2B,1-10,Pre-Funding,$0,", , , , , , , , , , , , , , risk-assesments, lending-and-financing, recruitment"
Facio,Facio Smart Contract Management for the Financial Services Industry,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , financial-institutions, healthcare-providers, insurtech"
Fairgen,Fairgen Platform for Fixing Biased Data,2022,"B2B, B2C",11-50,Seed,$10.5M,", software-platform, enterprise-solutions"
Fairtility,Fairtility AI-powered IVF Solutions,2019,B2B,11-50,A,$18.5M,", , , , , , , , , fertility, digital-healthcare, femtech"
FamilyKeeper,FamilyKeeper Protecting Children from Online Threats,2016,B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , mobile-security, behavior-analytics"
Fan-Ye Tutor,Fan-Ye Tutor Blockchain-based Decentralized Platform for Mobile Learning,2004,B2B2C,1-10,Mature,$2M,", , , , , , , , , , , , , , , , k-12, virtual-classroom"
FarmSee,FarmSee Livestock Growth and Monitoring Solutions,2017,B2B,11-50,A,$0,", , , , precision-agriculture, smart-farming"
Fast Simon,Fast Simon AI-driven Conversion Optimization for Online Retailers,2013,"B2B, B2B2C",11-50,Mature,Undisclosed,", , , , , , , , , ecommerce, web-platform, space-tech"
FeedVisor,FeedVisor Repricing Platform for Online Marketplaces,2011,B2B,51-200,Mature,$32.7M,", , , , , , , , , , , , , big-data-analytics, natural-language-processing"
FeelBetter,FeelBetter Polypharmacy Patient Management,2018,B2B,11-50,Seed,$7.4M,", , , , , , , , , , , , , , , , aging-population, population-health-management"
Feelit Technologies,Feelit Technologies Nanomaterial-based Sensing Solutions for IoT Applications,2017,B2B,11-50,A,$10.43M,", , , , , , , , , , , , , , , , , , , , valves, climate-tech"
Feelter,Feelter Leveraging Social Media Content,2014,B2B,11-50,Mature,$4.1M,", , , , , , , , , , , , behavior-analytics, artificial-intelligence"
Feetium,Feetium Automated Fitting for Online Shoe Purchases,2014,B2B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , image-processing, machine-learning"
Feminai,Feminai Breast Cancer Screening Solutions,2023,"B2B, B2C",1-10,Seed,Undisclosed,", , , , , , , artificial-intelligence, medical-devices"
Feng-GUI,Feng-GUI AI-Powered Neuromarketing,2007,B2B,1-10,Mature,Undisclosed,", , , , , , , , , , , , , , advertisers, enterprise-solutions"
Fermata,Fermata AI Pest and Disease Detection,2020,B2B,11-50,Seed,$8.4M,", , , , , , , , agtech, artificial-intelligence"
FertilAI,FertilAI Workflow Management for Fertility Treatments,2021,B2B,1-10,Seed,$4.54M,", , , , , , , artificial-intelligence, web-platform, femtech"
Fetcherr,Fetcherr AI-Driven Demand Prediction and Pricing Optimization for Airlines,2018,B2B,51-200,B,$112.5M,", , , , , , , , , , , , , , , ecommerce, data-analytics"
FFRobotics,FFRobotics Fully Robotic Orchard Management and Tree-Fruit Harvesting System,2014,"B2B, B2C",1-10,Seed,$3.45M,", , , , , , , , , machinery, image-processing, agriculture"
